#schema: NinjaDataExport/v1, delimiter=comma, headerRow=2, emptyFieldsAllowed=true, time=ISO8601, instrument=ES, timeframe=Minute_5, tradingHours=CME US Index Futures ETH, vwap=tick, tz=Local
timestamp,instrument,period,open,high,low,close,volume,ema20,ema50,ema200,rsi14,atr14,vwap,vwap_upper1,vwap_upper2,vwap_upper3,vwap_lower1,vwap_lower2,vwap_lower3,session_date
2025-07-24T18:05:00.000,ES,Minute_5,6463.5,6465.5,6461.5,6465.25,914,6465.25,6465.25,6465.25,0,4,6471.05048077,6471.26872829,6470.83223325,6471.48697581,6470.61398573,6471.70522332,6470.39573822,2025-07-25
2025-07-24T18:10:00.000,ES,Minute_5,6464.75,6466.5,6464.5,6465.75,434,6465.29761905,6465.26960784,6465.25497512,0,3,6471.21808511,6471.5132156,6470.92295462,6471.80834609,6470.62782412,6472.10347658,6470.33269363,2025-07-25
2025-07-24T18:15:00.000,ES,Minute_5,6466,6467.5,6465.75,6467.5,617,6465.50736961,6465.3570742,6465.27731368,0,2.58333333,6471.1496844,6471.49423149,6470.80513731,6471.83877859,6470.46059021,6472.18332568,6470.11604312,2025-07-25
2025-07-24T18:20:00.000,ES,Minute_5,6467.25,6468.5,6467,6468.5,716,6465.79238203,6465.48032619,6465.30938021,0,2.3125,6470.98963731,6471.4905815,6470.48869311,6471.9915257,6469.98774891,6472.4924699,6469.48680471,2025-07-25
2025-07-24T18:25:00.000,ES,Minute_5,6468.5,6468.75,6467,6468,864,6466.00263136,6465.57913693,6465.33615255,0,2.2,6471.2333255,6471.83594933,6470.63070168,6472.43857315,6470.02807786,6473.04119697,6469.42545404,2025-07-25
2025-07-24T18:30:00.000,ES,Minute_5,6468.25,6470,6468,6468.75,790,6466.26428552,6465.7034845,6465.37012118,0,2.16666667,6471.2719094,6471.85834358,6470.68547521,6472.44477777,6470.09904103,6473.03121196,6469.51260684,2025-07-25
2025-07-24T18:35:00.000,ES,Minute_5,6468.5,6468.75,6466.75,6467,370,6466.33435356,6465.75432825,6465.38633888,0,2.14285714,6471.35599552,6471.98018311,6470.73180793,6472.60437069,6470.10762034,6473.22855828,6469.48343275,2025-07-25
2025-07-24T18:40:00.000,ES,Minute_5,6466.75,6468.25,6466.75,6468,190,6466.49298656,6465.84239381,6465.41234546,0,2.0625,6471.54122778,6472.3155001,6470.76695546,6473.08977243,6469.99268314,6473.86404475,6469.21841081,2025-07-25
2025-07-24T18:45:00.000,ES,Minute_5,6468,6468.25,6467.25,6467.75,122,6466.61270212,6465.91720189,6465.4356057,0,1.94444444,6472.07077,6473.27080175,6470.87073824,6474.47083351,6469.67070648,6475.67086527,6468.47067473,2025-07-25
2025-07-24T18:50:00.000,ES,Minute_5,6467.75,6468,6467.25,6467.5,167,6466.69720668,6465.97927241,6465.45614694,0,1.825,6472.23000909,6473.48666931,6470.97334886,6474.74332953,6469.71668864,6475.99998976,6468.46002842,2025-07-25
