#schema: NinjaDataExport/v1, delimiter=comma, headerRow=2, emptyFieldsAllowed=true, time=ISO8601, instrument=YM, timeframe=Minute_5, tradingHours=CME US Index Futures ETH, vwap=tick, tz=Local
timestamp,instrument,period,open,high,low,close,volume,ema20,ema50,ema200,rsi14,atr14,vwap,vwap_upper1,vwap_upper2,vwap_upper3,vwap_lower1,vwap_lower2,vwap_lower3,session_date
2025-07-24T18:05:00.000,YM,Minute_5,45274,45288,45261,45287,64,45287,45287,45287,0,27,45328.80487805,45331.27636915,45326.33338695,45333.74786025,45323.86189585,45336.21935134,45321.39040475,2025-07-25
2025-07-24T18:10:00.000,YM,Minute_5,45290,45298,45285,45293,45,45287.57142857,45287.23529412,45287.05970149,0,20,45329.10909091,45331.37883435,45326.83934747,45333.64857779,45324.56960402,45335.91832124,45322.29986058,2025-07-25
2025-07-24T18:15:00.000,YM,Minute_5,45293,45306,45293,45305,60,45289.23129252,45287.93194925,45287.23821193,0,17.66666667,45329.25287356,45331.36587872,45327.1398684,45333.47888389,45325.02686324,45335.59188905,45322.91385808,2025-07-25
2025-07-24T18:20:00.000,YM,Minute_5,45307,45314,45306,45310,25,45291.20926466,45288.79736301,45287.46469738,0,15.5,45328.80769231,45331.45372321,45326.1616614,45334.09975411,45323.5156305,45336.74578502,45320.8695996,2025-07-25
2025-07-24T18:25:00.000,YM,Minute_5,45312,45313,45303,45308,36,45292.80838231,45289.55040759,45287.66902875,0,14.4,45329.792,45333.11054415,45326.47345585,45336.4290883,45323.1549117,45339.74763245,45319.83636755,2025-07-25
2025-07-24T18:30:00.000,YM,Minute_5,45310,45316,45310,45313,29,45294.73139352,45290.46999945,45287.92107821,0,13.33333333,45330.5106383,45334.23637205,45326.78490454,45337.96210581,45323.05917078,45341.68783957,45319.33343703,2025-07-25
2025-07-24T18:35:00.000,YM,Minute_5,45314,45314,45295,45296,33,45294.85221318,45290.68686222,45288.00146549,0,14.14285714,45332.3559322,45337.56813857,45327.14372584,45342.78034493,45321.93151948,45347.99255129,45316.71931311,2025-07-25
2025-07-24T18:40:00.000,YM,Minute_5,45298,45305,45298,45305,13,45295.81866907,45291.24816174,45288.17060514,0,13.5,45333.61025641,45339.96731589,45327.25319693,45346.32437537,45320.89613745,45352.68143485,45314.53907797,2025-07-25
2025-07-24T18:45:00.000,YM,Minute_5,45305,45308,45304,45306,15,45296.78831964,45291.8266652,45288.34801206,0,12.44444444,45336.53974895,45345.11317615,45327.96632175,45353.68660335,45319.39289455,45362.26003055,45310.81946735,2025-07-25
2025-07-24T18:50:00.000,YM,Minute_5,45305,45305,45302,45302,18,45297.28467015,45292.22561951,45288.48385273,0,11.6,45337.53383459,45346.2015077,45328.86616148,45354.86918081,45320.19848836,45363.53685392,45311.53081525,2025-07-25
2025-07-24T18:55:00.000,YM,Minute_5,45298,45299,45295,45296,16,45297.16232061,45292.37363443,45288.55864027,0,11.18181818,45338.06081081,45346.4485643,45329.67305732,45354.83631778,45321.28530384,45363.22407127,45312.89755035,2025-07-25
2025-07-24T19:00:00.000,YM,Minute_5,45295,45298,45295,45296,6,45297.05162341,45292.51584484,45288.63268365,0,10.5,45338.12759644,45346.01995713,45330.23523575,45353.91231781,45322.34287506,45361.8046785,45314.45051438,2025-07-25
2025-07-24T19:05:00.000,YM,Minute_5,45295,45295,45290,45294,19,45296.76099261,45292.57404701,45288.68608978,0,10.15384615,45338.38055556,45346.08929245,45330.67181866,45353.79802935,45322.96308176,45361.50676625,45315.25434487,2025-07-25
2025-07-24T19:10:00.000,YM,Minute_5,45296,45300,45296,45299,10,45296.97423141,45292.82604516,45288.78871575,58.10810811,9.85714286,45338.53243243,45346.1913985,45330.87346637,45353.85036456,45323.2145003,45361.50933063,45315.55553424,2025-07-25
2025-07-24T19:15:00.000,YM,Minute_5,45302,45303,45294,45296,48,45296.88144746,45292.95051398,45288.86046982,55.67729084,9.79591837,45338.84415584,45346.51712232,45331.17118936,45354.1900888,45323.49822288,45361.86305528,45315.8252564,2025-07-25
2025-07-24T19:20:00.000,YM,Minute_5,45292,45294,45289,45294,13,45296.6070239,45292.99167029,45288.91160943,54.05385302,9.59620991,45338.88040712,45346.48002174,45331.2807925,45354.07963637,45323.68117788,45361.67925099,45316.08156326,2025-07-25
2025-07-24T19:25:00.000,YM,Minute_5,45293,45294,45286,45288,27,45295.78730733,45292.79591852,45288.90253869,49.40021753,9.48219492,45339.19285714,45346.650895,45331.73481929,45354.10893285,45324.27678144,45361.5669707,45316.81874358,2025-07-25
2025-07-24T19:30:00.000,YM,Minute_5,45290,45294,45285,45288,22,45295.04565902,45292.60784328,45288.8935582,49.40021753,9.44775242,45339.82142857,45347.46261672,45332.18024043,45355.10380486,45324.53905228,45362.74499301,45316.89786414,2025-07-25
2025-07-24T19:35:00.000,YM,Minute_5,45290,45293,45283,45286,48,45294.18416768,45292.34871217,45288.86476658,47.80902155,9.48719868,45340.475,45348.26170073,45332.68829927,45356.04840145,45324.90159855,45363.83510218,45317.11489782,2025-07-25
2025-07-24T19:40:00.000,YM,Minute_5,45287,45296,45287,45294,23,45294.1666279,45292.41346856,45288.91586343,54.16826929,9.52382735,45341.21484375,45349.30036926,45333.12931824,45357.38589478,45325.04379272,45365.47142029,45316.95826721,2025-07-25
2025-07-24T19:45:00.000,YM,Minute_5,45293,45305,45293,45305,27,45295.19837763,45292.90705803,45289.07590459,61.17354766,9.70069682,45341.55787476,45349.77711686,45333.33863267,45357.99635895,45325.11939057,45366.21560105,45316.90014848,2025-07-25
2025-07-24T19:50:00.000,YM,Minute_5,45303,45310,45303,45306,42,45296.22710357,45293.42050673,45289.24430355,61.74598527,9.50778991,45342.3699115,45350.86641629,45333.87340672,45359.36292107,45325.37690194,45367.85942586,45316.88039715,2025-07-25
2025-07-24T19:55:00.000,YM,Minute_5,45305,45314,45301,45313,54,45297.82452227,45294.18833,45289.48067864,65.5723832,9.75723348,45342.72727273,45351.32976125,45334.12478421,45359.93224976,45325.52229569,45368.53473828,45316.91980717,2025-07-25
2025-07-24T20:00:00.000,YM,Minute_5,45312,45320,45312,45316,60,45299.55552015,45295.0436896,45289.74455248,67.09162682,9.63171681,45342.8277592,45351.35209601,45334.30342238,45359.87643283,45325.77908557,45368.40076964,45317.25474875,2025-07-25
2025-07-24T20:05:00.000,YM,Minute_5,45316,45321,45310,45311,39,45300.64547061,45295.66942727,45289.95604947,62.16762534,9.72945132,45343.44651163,45351.96237981,45334.93064344,45360.478248,45326.41477525,45368.99411619,45317.89890707,2025-07-25
