#schema: NinjaDataExport/v1, delimiter=comma, headerRow=2, emptyFieldsAllowed=true, time=ISO8601, instrument=NQ, timeframe=Minute_5, tradingHours=CME US Index Futures ETH, vwap=tick, tz=Local
timestamp,instrument,period,open,high,low,close,volume,ema20,ema50,ema200,rsi14,atr14,vwap,vwap_upper1,vwap_upper2,vwap_upper3,vwap_lower1,vwap_lower2,vwap_lower3,session_date
2025-07-24T18:05:00.000,NQ,Minute_5,23629,23634.25,23622.5,23633.5,403,23633.5,23633.5,23633.5,0,11.75,23653.63565022,23654.56976712,23652.70153332,23655.50388402,23651.76741642,23656.43800092,23650.83329952,2025-07-25
2025-07-24T18:10:00.000,NQ,Minute_5,23632.75,23639.5,23632,23636.5,250,23633.78571429,23633.61764706,23633.52985075,0,9.625,23654.24802632,23655.45620686,23653.03984577,23656.66438741,23651.83166522,23657.87256796,23650.62348468,2025-07-25
2025-07-24T18:15:00.000,NQ,Minute_5,23637,23642.25,23636.25,23642.25,267,23634.59183673,23633.9561707,23633.6166184,0,8.41666667,23653.81755594,23655.46899668,23652.1661152,23657.12043742,23650.51467446,23658.77187816,23648.86323372,2025-07-25
2025-07-24T18:20:00.000,NQ,Minute_5,23641.5,23646.5,23640.5,23646,376,23635.67832847,23634.42847773,23633.73983613,0,7.8125,23652.79509685,23655.28894708,23650.30124662,23657.78279731,23647.80739639,23660.27664755,23645.31354616,2025-07-25
2025-07-24T18:25:00.000,NQ,Minute_5,23645.25,23646.75,23636.75,23643.5,436,23636.42324957,23634.78422371,23633.83695219,0,8.25,23653.62234534,23656.36971701,23650.87497366,23659.11708868,23648.12760199,23661.86446036,23645.38023032,2025-07-25
2025-07-24T18:30:00.000,NQ,Minute_5,23644,23658,23643.5,23646.5,641,23637.38294009,23635.24366591,23633.96295266,0,9.29166667,23653.65212855,23656.27625284,23651.02800426,23658.90037712,23648.40387997,23661.52450141,23645.77975568,2025-07-25
2025-07-24T18:35:00.000,NQ,Minute_5,23646.25,23646.25,23638,23641,289,23637.72742199,23635.46940451,23634.03297303,0,9.17857143,23653.71275436,23656.27343213,23651.15207659,23658.83410989,23648.59139883,23661.39478766,23646.03072106,2025-07-25
2025-07-24T18:40:00.000,NQ,Minute_5,23641,23646,23640.25,23646,129,23638.51528656,23635.88236903,23634.15204793,0,8.75,23654.5311344,23657.60771588,23651.45455292,23660.68429736,23648.37797145,23663.76087884,23645.30138997,2025-07-25
2025-07-24T18:45:00.000,NQ,Minute_5,23645.25,23646.5,23642.5,23645.5,99,23639.18049736,23636.25953103,23634.26496287,0,8.22222222,23658.45247934,23664.76210496,23652.14285371,23671.07173059,23645.83322809,23677.38135622,23639.52360246,2025-07-25
2025-07-24T18:50:00.000,NQ,Minute_5,23644.25,23644.75,23641.75,23642.5,85,23639.49664047,23636.50425531,23634.34690354,0,7.775,23659.32003199,23665.88630664,23652.75375735,23672.45258128,23646.18748271,23679.01885592,23639.62120807,2025-07-25
